datatype,wiki_word,qid
illumination mask,foreground,Q2533752
polyp mask,foreground,Q2533752
guide mask,foreground,Q2533752
occlusion mask,foreground,Q2533752
dense mask,foreground,Q2533752
editing mask,foreground,Q2533752
edge mask,foreground,Q2533752
lesion segmentation,Lesion Segmentation,Q57241857
organ segmentation,Lesion Segmentation,Q57241857
news article,news article,Q5707594
news,news article,Q5707594
news report,news article,Q5707594
news story,news article,Q5707594
news editorial,news article,Q5707594
newswire article,news article,Q5707594
newspaper article,news article,Q5707594
news headline,title,Q216353
news title,title,Q216353
news article title,title,Q216353
encyclopedic article,Encyclopedic article,Q24492974
encyclopedia article,Encyclopedic article,Q24492974
news related image,image,Q478798
news image,image,Q478798
news photo,image,Q478798
news article image,image,Q478798
news picture,image,Q478798
article text,text,Q234460
news text,text,Q234460
news article body text,text,Q234460
news article text,text,Q234460
news article body,text,Q234460
article,article,Q191067
sports article,article,Q191067
business article,article,Q191067
event article,article,Q191067
spoken article,article,Q191067
input article,article,Q191067
financial news article,article,Q191067
wikipedia article,Wikipedia article,Q130751856
wikipedia article text,Wikipedia article,Q130751856
news video,video,Q625525
news snippet,video,Q625525
news segment,video,Q625525
news topic,video,Q625525
news body,document,Q49848
news abstract,document,Q49848
news retrieval,document,Q49848
news document,document,Q49848
fact checking article,Fact checking,Q117307956
fake news article,Fact checking,Q117307956
truthful news article,Fact checking,Q117307956
network traffic feature,Network,Q7000691
network feature,Network,Q7000691
network flow feature,Network,Q7000691
traffic feature,Network,Q7000691
feature,feature,Q814254
high level feature,feature,Q814254
higher level textual feature,feature,Q814254
function feature,feature,Q814254
dynamic feature,feature,Q814254
item textual feature,feature,Q814254
content feature,Content,Q37454002
content based feature,Content,Q37454002
resource feature,Content,Q37454002
edge feature,Edge,Q16869767
particle feature,Edge,Q16869767
lip feature,Edge,Q16869767
directional feature,Edge,Q16869767
process feature,process,Q3249551
manifest feature,process,Q3249551
input feature,process,Q3249551
music audio,music,Q638
song audio,music,Q638
original audio,music,Q638
a cappella audio,music,Q638
chorale audio,music,Q638
source audio,music,Q638
singing audio,music,Q638
mixed audio,Mixed,Q6883863
multichannel audio,Mixed,Q6883863
multispeaker audio,Mixed,Q6883863
spatial audio,Mixed,Q6883863
4th order ambisonics spatial audio,Mixed,Q6883863
four channel audio,Mixed,Q6883863
raw audio,Raw audio,Q3415066
wheel audio,Raw audio,Q3415066
interaction audio,Raw audio,Q3415066
robot manipulation audio,Raw audio,Q3415066
activity audio,Raw audio,Q3415066
workshop audio,Raw audio,Q3415066
transcribed audio,Raw audio,Q3415066
motion audio,Raw audio,Q3415066
foley audio,Raw audio,Q3415066
broadcast audio,Broadcast,Q922155
drama audio,Broadcast,Q922155
chosen audio,Broadcast,Q922155
rejected audio,Broadcast,Q922155
ad audio,Broadcast,Q922155
episode audio,episode,Q1983062
parliamentary debate audio,episode,Q1983062
interview audio,episode,Q1983062
musical score,Musical score,Q18230420
music score,Musical score,Q18230420
composition score,Musical score,Q18230420
similarity score,similarity score,Q7517810
relatedness score,similarity score,Q7517810
term similarity score,similarity score,Q7517810
quality score,Quality Score,Q7268763
evaluation score,Quality Score,Q7268763
quality assessment score,Quality Score,Q7268763
summary quality score,Quality Score,Q7268763
score,Final Score,Q27703274
box score,Final Score,Q27703274
line score,Final Score,Q27703274
final score,Final Score,Q27703274
review score,review,Q265158
rating score,review,Q265158
reviewer score,review,Q265158
relevance score,relevance,Q1074648
summary relevance score,relevance,Q1074648
sentiment score,sentiment,Q7451247
predicted sentiment score,sentiment,Q7451247
mean opinion score,opinion,Q3962655
subjective mean opinion score,opinion,Q3962655
opinion score,opinion,Q3962655
target images with memorability score,cognitive test,Q5141248
memorability score,cognitive test,Q5141248
recallability score,cognitive test,Q5141248
cognitive test score,cognitive test,Q5141248
aesthetic score,Quality Score,Q7268763
helpfulness score,Quality Score,Q7268763
ranking score,Quality Score,Q7268763
subjective video quality score,Quality Score,Q7268763
essay score,Quality Score,Q7268763
student test score,Quality Score,Q7268763
cumulative score,Quality Score,Q7268763
subjective score,Quality Score,Q7268763
annotation score,annotation,Q857525
learning style score,annotation,Q857525
query,Query,Q37165442
sql query,Query,Q37165442
original query,Query,Q37165442
search query,search query,Q115215082
code search query,search query,Q115215082
web query,search query,Q115215082
retrieval query,search query,Q115215082
information retrieval query,search query,Q115215082
natural language query,natural language query,Q112819305
semantic query,natural language query,Q112819305
single sentence query,natural language query,Q112819305
sparql query,SPARQL query,Q114898838
sparql/geosparql query,SPARQL query,Q114898838
intent query,Intent,Q61969112
single intent query,Intent,Q61969112
facial expression,facial expression,Q327968
emotional expression,facial expression,Q327968
mathematical expression,mathematical expression,Q6498784
symbolic expression,mathematical expression,Q6498784
latex expression,mathematical expression,Q6498784
spoken mathematical expression,mathematical expression,Q6498784
temporal expression,Temporal,Q98889848
time expression,Temporal,Q98889848
timex expression,Temporal,Q98889848
multiword expression,multiword expression,Q6935164
semantic expression,multiword expression,Q6935164
natural language expression,multiword expression,Q6935164
logical expression,multiword expression,Q6935164
referring expression,referring expression,Q3427356
expression,referring expression,Q3427356
sarcastic expression,referring expression,Q3427356
node attribute,Node,Q105180965
color attribute,Node,Q105180965
tag,tag,Q658349
anime tag,tag,Q658349
genre tag,music genre,Q188451
music tag,music genre,Q188451
instrument tag,music genre,Q188451
species tag,species,Q7432
relevance tag,species,Q7432
metadata tag,species,Q7432
expression tag,expression,Q778379
textual tag,expression,Q778379
temporal tag,expression,Q778379
page tag,expression,Q778379
punctuation tag,expression,Q778379
citation network,citation network,Q22907271
wikipedia network,citation network,Q22907271
collaboration network,communication network,Q13425103
communication network,communication network,Q13425103
internet network,communication network,Q13425103
connectivity network,communication network,Q13425103
actor/actress network,actress,Q21169216
actor network,actress,Q21169216
film network,actress,Q21169216
interaction network,actress,Q21169216
road network,road network,Q358078
ego network,road network,Q358078
amazon network,road network,Q358078
lognormal network,road network,Q358078
biological network,road network,Q358078
transaction network,road network,Q358078
bibliographic record,bibliographic record,Q1774089
classification record,bibliographic record,Q1774089
administrative record,bibliographic record,Q1774089
historical record,bibliographic record,Q1774089
metadata record,bibliographic record,Q1774089
flight record,Flight record,Q28840665
passenger record,Flight record,Q28840665
trip record,Flight record,Q28840665
family photo,Family Photo,Q129991438
holiday photo,Family Photo,Q129991438
people photo,Family Photo,Q129991438
real photo,Real,Q30836859
normal photo,Real,Q30836859
window photo,Real,Q30836859
natural language inference,natural language inference,Q29515364
natural language explanation,natural language inference,Q29515364
natural language instruction,natural language inference,Q29515364
natural language command,natural language inference,Q29515364
natural language specification,natural language inference,Q29515364
natural language intent,natural language inference,Q29515364
natural language statement,natural language inference,Q29515364
natural language rationale,natural language inference,Q29515364
natural language inference task,natural language inference,Q29515364
natural language generation,natural language inference,Q29515364
natural language utterance,natural language inference,Q29515364
natural language template,natural language inference,Q29515364
natural language feedback,natural language inference,Q29515364
natural language hypothesi,natural language inference,Q29515364
natural language motivation,natural language inference,Q29515364
natural language title,natural language inference,Q29515364
natural language action,natural language inference,Q29515364
natural language code search,natural language inference,Q29515364
natural utterance,natural language inference,Q29515364
natural language answer,natural language inference,Q29515364
natural language theorem statement,natural language inference,Q29515364
natural language proof,natural language inference,Q29515364
natural language prompt,natural language inference,Q29515364
check in data,validation,Q359176
validation data,validation,Q359176
impression data,impression,Q115640974
attitude data,impression,Q115640974
benchmark data,benchmark,Q1161707
benchmarking data,benchmark,Q1161707
trajectory data,trajectory,Q193139
dynamic trajectory data,trajectory,Q193139
kinematic data,Kinematic,Q25215452
kinematics data,Kinematic,Q25215452
activity data,activity,Q1914636
timestamped activity data,activity,Q1914636
simulation data,simulation,Q45045
simulated data,simulation,Q45045
roadmap data,roadmap,Q106485006
road structure data,roadmap,Q106485006
game data,game,Q11410
player data,game,Q11410
player positional data,game,Q11410
election poll data,voting,Q189760
voting data,voting,Q189760
rating data,voting,Q189760
vicon pose data,Vicon,Q30295505
vicon data,Vicon,Q30295505
vicon nexus omc data,Vicon,Q30295505
fire hazard data,combustion,Q133235
combustion data,combustion,Q133235
safety data,combustion,Q133235
climate simulation data,climate data,Q47333333
climate model data,climate data,Q47333333
climate data,climate data,Q47333333
stunted growth data,growth,Q1342838
low birth weight data,growth,Q1342838
growth interval data,growth,Q1342838
outlier detection data,Outlier Detection,Q57535600
anomaly detection data,Outlier Detection,Q57535600
attack data,Outlier Detection,Q57535600
piano performance midi data,Midi,Q98777027
midi data,Midi,Q98777027
velocity data,velocity,Q11465
velocity and distance data,velocity,Q11465
3d point cloud data,Point Cloud Data,Q105864751
point cloud data,Point Cloud Data,Q105864751
gesture data,gesture,Q371174
gesture skeleton data,gesture,Q371174
radar,radar,Q47528
radar scan,radar,Q47528
single cell rna seq data,RNA sequencing,Q2542347
rna sequencing data,RNA sequencing,Q2542347
measurement data,measurement,Q12453
actual metric data,measurement,Q12453
telemetry data,telemetry,Q209867
satellite telemetry data,telemetry,Q209867
geographical data,Geographical Data,Q58947525
geographic data,Geographical Data,Q58947525
issue tracking data,Bug,Q106353831
bug data,Bug,Q106353831
mobility data,mobility data,Q87271050
residential mobility data,mobility data,Q87271050
6 dof speed data,Speed,Q21482644
speed data,Speed,Q21482644
energy production data,energy production,Q3406659
power plant generation data,energy production,Q3406659
graph data,Graph,Q98669280
network diagram data,Graph,Q98669280
32beam lidar data,LIDAR data,Q124439708
64layer lidar data,LIDAR data,Q124439708
solar generation data,solar generation,Q33085760
pv power generation data,solar generation,Q33085760
participant data,participant,Q75232720
participant demographic and clinical data,participant,Q75232720
millimeter wave radar data,radar,Q47528
millimeter wave sensor data,radar,Q47528
inventory stock data,inventory,Q815410
product inventory data,inventory,Q815410
soiling detection data,soil,Q36133
soil data,soil,Q36133
city pollution data,pollution,Q58734
spatiotemporal air quality data,pollution,Q58734
choice data,Choice,Q1766173
preference data,Choice,Q1766173
imu motion data,Kinematic,Q25215452
imu kinematic data,Kinematic,Q25215452
web search session data,Session,Q12000046
session data,Session,Q12000046
expert comparison data,evaluation,Q1379672
automated evaluation data,evaluation,Q1379672
fnirs data,fNIRS,Q750537
foaf data,fNIRS,Q750537
binary quantification data,quantification,Q12769938
multi class quantification data,quantification,Q12769938
rtt data,RT,Q22868
rt data,RT,Q22868
1d benchmark data,benchmark,Q1161707
2d benchmark data,benchmark,Q1161707
in ear microphone data,microphone,Q46384
headset microphone data,microphone,Q46384
answer sentence,answer,Q1920566
sentence level answer,answer,Q1920566
learner sentence,Learner,Q37548067
training sentence,Learner,Q37548067
sarcastic sentence,sarcastic,Q107263298
non sarcastic sentence,sarcastic,Q107263298
sentence similarity,similarity,Q254465
semantic similarity sentence,similarity,Q254465
sentence textual similarity,similarity,Q254465
negative sentence,negative sentence,Q6017694
neutral sentence,negative sentence,Q6017694
affirmative sentence,negative sentence,Q6017694
literal motion sentence,motion,Q452237
non motion sentence,motion,Q452237
mechanism sentence,motion,Q452237
reference sentence,reference,Q121769
citation sentence,reference,Q121769
referential sentence,reference,Q121769
japanese sentence,Chinese,Q7850
chinese sentence,Chinese,Q7850
corrected chinese sentence,Chinese,Q7850
word word dependency,Dependency graph,Q4148050
word dependency graph,Dependency graph,Q4148050
sentence completion,completion,Q3685258
language completion,completion,Q3685258
evidence sentence,evidence,Q176763
debate sentence,evidence,Q176763
abstract sentence,abstract,Q333291
generic sentence,abstract,Q333291
word similarity,word similarity,Q120970362
word sense similarity judgement,word similarity,Q120970362
short sentence,sentence,Q41796
long sentence,sentence,Q41796
stereotype sentence,stereotype,Q167172
non stereotype sentence,stereotype,Q167172
document layout,Document Structure,Q64605273
document structure,Document Structure,Q64605273
intent detection sentence,Intent,Q61969112
multi intent sentence,Intent,Q61969112
modification sentence,modification,Q109243379
revised sentence,modification,Q109243379
sentence segmentation,segmentation,Q1423946
word segmentation,segmentation,Q1423946
sentence template,template,Q1411845
template sentence,template,Q1411845
subjective sentence,Subjective,Q113905711
objective sentence,Subjective,Q113905711
conclusion sentence,ConClusion,Q112040166
outcome sentence,ConClusion,Q112040166
sentence to sentence,paragraph,Q194431
sentence to paragraph,paragraph,Q194431
quantification sentence,quantification,Q12769938
quantified sentence,quantification,Q12769938
motion label,motion,Q452237
optical flow label,motion,Q452237
fact checking label,Fact checking,Q117307956
fact check label,Fact checking,Q117307956
molecule label,molecule,Q11369
microscopy label,molecule,Q11369
experiment label,experiment,Q101965
outcome label,experiment,Q101965
veracity label,Veracity,Q7920855
credibility label,Veracity,Q7920855
event label,event,Q1656682
event classification label,event,Q1656682
atom type label,Type,Q115868730
type label,Type,Q115868730
call type label,Type,Q115868730
aircraft model label,aircraft,Q11436
flight label,aircraft,Q11436
aircraft label,aircraft,Q11436
alphabet label,alphabet,Q9779
character label,alphabet,Q9779
font label,alphabet,Q9779
location label,location,Q115095765
2d label,location,Q115095765
spatial label,location,Q115095765
meta label,Meta,Q12796400
metadata label,Meta,Q12796400
safety meta label,Meta,Q12796400
orientation label,orientation,Q2235286
body orientation label,orientation,Q2235286
polarity label,orientation,Q2235286
species label,species,Q7432
tree species label,species,Q7432
leaf wood label,species,Q7432
novelty label,Novelty,Q2393776
alternative label,Novelty,Q2393776
change label,Novelty,Q2393776
gesture label,gesture,Q371174
gesture class label,gesture,Q371174
fine label,Fine,Q4480591
coarse label,Fine,Q4480591
disparity label,Diversity,Q27722602
diversity label,Diversity,Q27722602
clinical glaucoma label,glaucoma,Q159701
glaucoma label,glaucoma,Q159701
sense label,sense,Q173253
detection label,sense,Q173253
aspect based label,Aspect,Q65097206
aspect label,Aspect,Q65097206
attack label,attack,Q1174599
attack category label,attack,Q1174599
rhythm label,rhythm,Q170406
rhythm classification label,rhythm,Q170406
land cover type label,land cover,Q3001793
land cover label,land cover,Q3001793
occupancy label,occupancy,Q7075743
occlusion label,occupancy,Q7075743
3d chair model,Chair Model,Q5068046
3d chair rendering,Chair Model,Q5068046
3d house layout,house model,Q5914621
3d house model,house model,Q5914621
3d indoor space,house model,Q5914621
3d histogram of particle count,histogram,Q185020
2d histogram,histogram,Q185020
2d object count,histogram,Q185020
static environment point cloud,environment,Q2249676
environment point cloud,environment,Q2249676
environmental point cloud,environment,Q2249676
indoor scene point cloud,point cloud,Q1899648
outdoor scene point cloud,point cloud,Q1899648
partial 3d object point cloud,point cloud,Q1899648
complete 3d object point cloud,point cloud,Q1899648
3d position,position,Q1781513
3d location,position,Q1781513
clean ground truth point cloud,point cloud,Q1899648
ground truth point cloud,point cloud,Q1899648
3d speech enhancement,speech,Q52946
3d sound event localization and detection,speech,Q52946
3d ground truth,ground truth,Q370766
3d ground truth shape,ground truth,Q370766
3d object instance,object,Q488383
3d object class,object,Q488383
3d animation,3D animation,Q2850042
3d model animation,3D animation,Q2850042
3d smpl fit,Fit,Q37290457
3d object fit,Fit,Q37290457
3d object tracking,Object tracking,Q117409136
3d camera tracking,Object tracking,Q117409136
3d content,video,Q625525
3d video,video,Q625525
3d traffic light position,traffic sign,Q170285
3d traffic sign position,traffic sign,Q170285
summary text,summary,Q776754
summarized text,summary,Q776754
manual text,Manual,Q37571798
technical text,Manual,Q37571798
code switched text,Switched,Q55740509
code switched informal short text,Switched,Q55740509
code mixed text,Switched,Q55740509
business signage text,signage,Q1211272
business document text,signage,Q1211272
road signs and text,signage,Q1211272
multilingual lexical data,dialogue,Q131395
multilingual dialogue data,dialogue,Q131395
multilingual spoken dialogue,dialogue,Q131395
modified text,Modified,Q6889355
modification text,Modified,Q6889355
edited text,Modified,Q6889355
persian running text,Persian,Q9168
informal persian text,Persian,Q9168
short persian text,Persian,Q9168
machine translation text,machine translation,Q79798
machine translated text,machine translation,Q79798
original text,original,Q2030738
source text,original,Q2030738
corrected english text,Corrected text,Q93536022
corrected text,Corrected text,Q93536022
transcribed text,transcription,Q177900
transcription text,transcription,Q177900
instruction text,instruction,Q925783
instruction manual text,instruction,Q925783
form text,form,Q279749
submission text,form,Q279749
license plate text,plate,Q57216
number plate text,plate,Q57216
supporting text,support,Q1058733
support text,support,Q1058733
hindi text,Hindi,Q1568
sanskrit text,Hindi,Q1568
comparison text,benchmark,Q1161707
benchmark text,benchmark,Q1161707
dark pattern text,dark pattern,Q30325366
non dark pattern text,dark pattern,Q30325366
ehr free text,Ehr,Q37298907
ehr text,Ehr,Q37298907
magazine text,magazine,Q41298
newspaper text,magazine,Q41298
address text,address,Q319608
augmented address text,address,Q319608
temporal information,temporal information,Q105642442
spatiotemporal information,temporal information,Q105642442
additional information,additional Information,Q11712452
supplementary information,additional Information,Q11712452
channel state information,Channel state information,Q5072511
channel information,Channel state information,Q5072511
issue information,Issue Information,Q110871853
bug information,Issue Information,Q110871853
artist information,artist,Q483501
art background information,artist,Q483501
business information,client,Q528166
client information,client,Q528166
company information,client,Q528166
coreference information,coreference,Q63087
coreferential information,coreference,Q63087
attribute information,attribute,Q2722260
instance information,attribute,Q2722260
speaker information,speaker,Q1758037
addressee information,speaker,Q1758037
age group information,Age,Q21143192
age information,Age,Q21143192
road network information,route,Q7371361
route information,route,Q7371361
radio program information,Station Information,Q16922123
station information,Station Information,Q16922123
cast information,actor,Q33999
character and actor information,actor,Q33999
compound information,compound,Q245423
corrective information,compound,Q245423
cell line information,cell line,Q21014462
cancer cell line information,cell line,Q21014462
family information,child,Q7569
child information,child,Q7569
member information,Player,Q36933283
player information,Player,Q36933283
platform information,Device,Q1206775
device information,Device,Q1206775
index information,indexing,Q11977025
indexing information,indexing,Q11977025
traffic incident information,traffic speed,Q1146727
traffic speed information,traffic speed,Q1146727
fill in the blank question,Fill In the Blank,Q63154565
fill in the gaps question,Fill In the Blank,Q63154565
forum question,forum,Q1062780
user question,forum,Q1062780
survey question,survey question,Q97656499
poll question,survey question,Q97656499
situated question,Situated,Q581151
geospatial question,Situated,Q581151
question group,category,Q719395
question set,category,Q719395
question category,category,Q719395
question generation,question generation,Q98035701
machine generated question,question generation,Q98035701
human generated question,question generation,Q98035701
analogy question,analogy,Q185816
legal analogical reasoning question,analogy,Q185816
vqa question,VQA,Q7907465
vcopa question,VQA,Q7907465
question related image,image,Q478798
question image,image,Q478798
track metadata,track,Q7831478
trace metadata,track,Q7831478
artwork metadata,Artwork,Q2667810
artist metadata,Artwork,Q2667810
art metadata,Artwork,Q2667810
session metadata,Session,Q12000046
ar session metadata,Session,Q12000046
result type metadata,result,Q2995644
search result metadata,result,Q2995644
web page metadata,website,Q35127
website metadata,website,Q35127
chart metadata,Chart,Q37285864
plot metadata,Chart,Q37285864
tumor mask,tumor,Q133212
binary tumor mask,tumor,Q133212
lesion mask,tumor,Q133212
patch segmentation,Patch,Q37122018
damage segmentation,Patch,Q37122018
hair segmentation mask,hair,Q28472
head segmentation mask,hair,Q28472
entity segmentation,entity,Q35120
relation segmentation,entity,Q35120
news category,category,Q719395
news article category,category,Q719395
news entity,entity,Q35120
news broadcast,entity,Q35120
news outlet,entity,Q35120
news article summary,summary,Q776754
news summary,summary,Q776754
summarized article,summary,Q776754
news article source,Reference News,Q7307107
news source,Reference News,Q7307107
reference news article,Reference News,Q7307107
human generated article,Generated,Q77262791
machine generated article,Generated,Q77262791
cultural heritage article,heritage,Q2434238
historical press article,heritage,Q2434238
biotech news article,BioTech,Q101246282
health news article,BioTech,Q101246282
handcrafted feature,Handcrafted,Q11861296
hand crafted feature,Handcrafted,Q11861296
automatically generated feature,Handcrafted,Q11861296
developer feature,application,Q166142
application feature,application,Q166142
conference call audio,meeting,Q2761147
earnings call audio,meeting,Q2761147
meeting audio,meeting,Q2761147
far field audio,Field,Q13560407
near field audio,Field,Q13560407
near range actor audio,Field,Q13560407
drumming audio,drumming,Q2238277
drum audio,drumming,Q2238277
tactile audio,Tactile,Q28136816
tactile internet audio,Tactile,Q28136816
shot level importance score,importance,Q1422583
importance score,importance,Q1422583
business query,business,Q4830453
customer service query,business,Q4830453
idiomatic expression,idiomatic,Q110983878
colloquial expression,idiomatic,Q110983878
hate speech expression,Hate,Q1588875
emoji based hate expression,Hate,Q1588875
vehicle attribute,vehicle,Q42889
car attribute,vehicle,Q42889
clothing attribute,clothing,Q11460
fashion attribute,clothing,Q11460
binary attribute,Binary,Q4913864
numerical attribute,Binary,Q4913864
pos tag,Slot,Q37453284
slot tag,Slot,Q37453284
mood/theme tag,Emotion,Q5373749
emotion tag,Emotion,Q5373749
location tag,location,Q115095765
position tag,location,Q115095765
friendship network,friendship,Q491
follower network,friendship,Q491
temporal network,Temporal,Q98889848
propagation network,Temporal,Q98889848
log record,Interaction,Q4641997
transaction record,Interaction,Q4641997
interaction record,Interaction,Q4641997
listening record,ALARM,Q294350
alarm record,ALARM,Q294350
satellite image c02,C13,Q104192645
satellite image c09,C13,Q104192645
satellite image c13,C13,Q104192645
natural images with flare spot,Natural images,Q73363365
natural image benchmark,Natural images,Q73363365
weekly series,Daily,Q27625360
daily series,Daily,Q27625360
hourly series,Daily,Q27625360
annotation,annotation,Q857525
manual annotation,annotation,Q857525
detailed annotation,annotation,Q857525
individual annotation,annotation,Q857525
finding annotation,annotation,Q857525
object detection annotation,object detection,Q3045304
detection annotation,object detection,Q3045304
classification annotation,object detection,Q3045304
classification and detection annotation,object detection,Q3045304
ground truth annotation,annotation,Q857525
pixel by pixel ground truth annotation,annotation,Q857525
temporal annotation,Temporal annotation,Q15844891
spatio temporal annotation,Temporal annotation,Q15844891
temporal and spatial annotation,Temporal annotation,Q15844891
pixel level annotation,annotation,Q857525
pixel wise annotation,annotation,Q857525
3d pose annotation,3D pose estimation,Q4636322
human pose annotation,3D pose estimation,Q4636322
3d human pose annotation,3D pose estimation,Q4636322
3d whole body pose annotation,3D pose estimation,Q4636322
activity annotation,type of activity,Q125542526
activity type annotation,type of activity,Q125542526
image annotation,image annotation,Q105226562
image level annotation,image annotation,Q105226562
table annotation,Table Annotation,Q126363875
column type annotation,Table Annotation,Q126363875
column property annotation,Table Annotation,Q126363875
column annotation,Table Annotation,Q126363875
frame wise annotation,Annotation framework for video,Q118984448
frame scene annotation,Annotation framework for video,Q118984448
local per frame annotation,Annotation framework for video,Q118984448
frame level annotation,Annotation framework for video,Q118984448
frame by frame annotation,Annotation framework for video,Q118984448
eye tracking annotation,eye tracking,Q970687
gaze location annotation,eye tracking,Q970687
eye position annotation,eye tracking,Q970687
eye region images with annotation,eye tracking,Q970687
3d gaze direction annotation,eye tracking,Q970687
eye corner annotation,eye tracking,Q970687
error annotation,annotation,Q857525
accident annotation,annotation,Q857525
failure type annotation,annotation,Q857525
factual error annotation,annotation,Q857525
video annotation,video annotation,Q105152134
descriptive video annotation,video annotation,Q105152134
traffic sign annotation,traffic sign,Q170285
traffic light annotation,traffic sign,Q170285
sign annotation,traffic sign,Q170285
linguistic annotation,Linguistic Annotation Workshop,Q105696204
nli annotation,Linguistic Annotation Workshop,Q105696204
nlp annotation,Linguistic Annotation Workshop,Q105696204
language annotation,Linguistic Annotation Workshop,Q105696204
lane annotation,road surface marking,Q1392287
lane marking annotation,road surface marking,Q1392287
3d lane annotation,road surface marking,Q1392287
2d lane annotation,road surface marking,Q1392287
discourse annotation,Dialogic Discourse,Q57450938
dialogic discourse annotation,Dialogic Discourse,Q57450938
gene annotation,gene annotation,Q19753318
phenotype annotation,gene annotation,Q19753318
gene ontology annotation,gene annotation,Q19753318
depth estimation annotation,depth estimation,Q111670253
relative depth annotation,depth estimation,Q111670253
disease annotation,severity,Q96278582
disease severity annotation,severity,Q96278582
severity level annotation,severity,Q96278582
tool presence annotation,Tool tracking system,Q122624321
tool annotation,Tool tracking system,Q122624321
tool tracking annotation,Tool tracking system,Q122624321
graph based annotation,annotation,Q857525
point based annotation,annotation,Q857525
point level annotation,annotation,Q857525
pos annotation,annotation,Q857525
fine grained pos annotation,annotation,Q857525
fine grained annotation,annotation,Q857525
social relationship annotation,group annotation,Q65719286
social group annotation,group annotation,Q65719286
social interaction annotation,group annotation,Q65719286
sentence level annotation,annotation,Q857525
sentence annotation,annotation,Q857525
midi note annotation,MIDI note numbers,Q96252942
midi annotation,MIDI note numbers,Q96252942
2d and 3d multi object tracking annotation,Object tracking,Q117409136
multi object tracking annotation,Object tracking,Q117409136
glaucoma diagnosis annotation,Glaucoma diagnosis,Q81050335
glaucoma grade annotation,Glaucoma diagnosis,Q81050335
atomic action annotation,Atomic action,Q8018935
atomic action recognition annotation,Atomic action,Q8018935
medical entities annotation,clinical annotation,Q106439652
clinical annotation,clinical annotation,Q106439652
co reference annotation,annotation,Q857525
reference annotation,annotation,Q857525
soiling detection annotation,soil aggregate,Q12048369
soil aggregate annotation,soil aggregate,Q12048369
facial action unit annotation,facial expression,Q327968
facial expression annotation,facial expression,Q327968
sleep stage annotation,sleep spindle,Q2738302
sleep spindle annotation,sleep spindle,Q2738302
annotation tag,annotation,Q857525
tag annotation,annotation,Q857525
text annotation,text annotation,Q2851776
character annotation,text annotation,Q2851776
recording annotation,text annotation,Q2851776
character level annotation,text annotation,Q2851776
syntactic annotation,annotation,Q857525
formal language annotation,annotation,Q857525
constituency syntactic annotation,annotation,Q857525
sentence temporal annotation,Temporal annotation,Q15844891
time annotation,Temporal annotation,Q15844891
noun argument annotation,argument structure,Q126366755
argumentative structure annotation,argument structure,Q126366755
2d and 3d object detection annotation,object detection,Q3045304
people detection annotation,object detection,Q3045304
acoustic properties annotation,sound event,Q1228981
sound event annotation,sound event,Q1228981
activity video,activity recognition,Q4677630
daily activity video,activity recognition,Q4677630
everyday event video,activity recognition,Q4677630
activity recognition video,activity recognition,Q4677630
gameplay video,YouTube video,Q63412991
youtube video,YouTube video,Q63412991
sign language video,sign language,Q34228
asl sign video,sign language,Q34228
music video,Performance Video,Q110893091
musical performance video,Performance Video,Q110893091
music performance video,Performance Video,Q110893091
drum performance video,Performance Video,Q110893091
sport video,Video Sports,Q66217771
sports video,Video Sports,Q66217771
sports action video,Video Sports,Q66217771
sports activity video,Video Sports,Q66217771
sport performance video,Video Sports,Q66217771
sports and street video,Video Sports,Q66217771
aerial video,Aerial video,Q4688040
aerial view video,Aerial video,Q4688040
real video,Real Video,Q73019630
real captured video,Real Video,Q73019630
high resolution video,high-definition video,Q2916762
ultra high resolution video,high-definition video,Q2916762
high resolution video frame,high-definition video,Q2916762
high frame rate video,frame rate,Q119565
high speed video,frame rate,Q119565
event video,event stream,Q104622942
event based video,event stream,Q104622942
event stream video,event stream,Q104622942
gait video,Gait Recognition,Q61821381
gait recognition video,Gait Recognition,Q61821381
walking video,Gait Recognition,Q61821381
celebrity walking video,Gait Recognition,Q61821381
frontal face video,𓁷,Q5428311
frontal video,𓁷,Q5428311
frontal view video,𓁷,Q5428311
traffic accident video,traffic collision,Q9687
incident video,traffic collision,Q9687
accident video,traffic collision,Q9687
road accident video,traffic collision,Q9687
cooking video,cooking simulation video game,Q116236834
instructional cooking video,cooking simulation video game,Q116236834
cooking technique video,cooking simulation video game,Q116236834
recipe video,cooking simulation video game,Q116236834
annotated video,video frame,Q5477883
annotated video frame,video frame,Q5477883
visible spectrum video,visible spectrum,Q76299
beyond visible spectrum video,visible spectrum,Q76299
animal behavior video,animal behavior,Q2990593
animal activity video,animal behavior,Q2990593
original video,original face,Q3656002
genuine face video,original face,Q3656002
original face video,original face,Q3656002
dance video,dance video game,Q2187138
single dancer video,dance video game,Q2187138
group dance video,dance video game,Q2187138
live streaming video,live streaming,Q3027665
live streamed video,live streaming,Q3027665
live video,live streaming,Q3027665
sonar video,underwater videography,Q2975751
underwater video,underwater videography,Q2975751
diving competition video,underwater videography,Q2975751
traffic lane video,traffic flow,Q746984
urban traffic video,traffic flow,Q746984
traffic scenario video,traffic flow,Q746984
traffic flow video,traffic flow,Q746984
exercise video,fitness video game,Q2016457
fitness activity video,fitness video game,Q2016457
lifestyle vlog video,Lifestyle Video,Q121126614
lifelogging video,Lifestyle Video,Q121126614
